Date/Time,ESTE:Surface Inside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),ESTE:Surface Outside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),NORTE:Surface Inside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),NORTE:Surface Outside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),OESTE:Surface Inside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),OESTE:Surface Outside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),SUR:Surface Inside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),SUR:Surface Outside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),PISO:Surface Inside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),PISO:Surface Outside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),TECHO:Surface Inside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),TECHO:Surface Outside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep) 
 01/01  01:50:00,-4.277330861455084,64.15208544566076,-5.225790482333423,62.96300080727701,-0.7244723035630614,69.2119569074132,0.5683978990068681,70.91763057345702,17.79008475151295,0.0,-9.99517523053737,79.30881102885724 
 01/01  02:00:00,-4.285435102334532,62.99309980573253,-5.195120843850191,61.85737943479148,-0.8881341753365177,67.71532762216543,0.3544834594281383,69.34287590517943,18.297210818053146,0.0,-10.17588709587676,77.96550526290912 
 01/01  02:10:00,-4.290266731708243,62.201868896889667,-5.162739680270306,61.10752478842164,-1.0413411706447278,66.87766134420053,0.15317630021831975,68.45037144272078,18.783409803932956,0.0,-10.34610950022784,76.85042422373999 
 01/01  02:20:00,-4.292638058987677,61.419528069287938,-5.129448045024219,60.36545004231766,-1.1850091325668473,66.03906610074978,-0.03671330829479302,67.55775902569258,19.244205173490628,0.0,-10.506947242094612,75.75593194667613 
 01/01  02:30:00,-4.292792383761935,60.64797027270538,-5.095423374996017,59.63289660694659,-1.3202226425005393,65.20645439892815,-0.21642084734753554,66.67239100346251,19.678269524616554,0.0,-10.658493789407885,74.68124348960737 
 01/01  02:40:00,-4.29069479493387,59.886871635358378,-5.060549010679324,58.90951567432694,-1.447895521432656,64.38143288211018,-0.3869861636612768,65.79601259094216,20.085807081555914,0.0,-10.800451749326385,73.62475670176082 
 01/01  02:50:00,-4.286309131233793,59.13581315575493,-5.024713728636698,58.194892845247299,-1.568737493036906,63.56469354999285,-0.5492127417362553,64.92937837720774,20.46747263116572,0.0,-10.932631010149408,72.58522881756858 
 01/01  03:00:00,-4.279680394109391,58.39445401963985,-4.987898088851125,57.488706499698768,-1.6833181242232059,62.75658604143041,-0.7037371187950612,64.0728609024859,20.824000194050087,0.0,-11.05506057380012,71.56175042322661 
 01/01  03:10:00,-4.27089544386331,57.34452487577505,-4.950132329389817,56.47369451699183,-1.792084202335218,61.60468450185681,-0.8510580629233573,62.87197906787628,21.156136144587664,0.0,-11.167887285349253,70.01981097917883 
 01/01  03:20:00,-4.259973203935715,56.323952357623969,-4.91138329926298,55.48666478016162,-1.8952722237816034,60.48507340223682,-0.9914589966542735,61.70518518486142,21.46434675849082,0.0,-11.27093112375519,68.52896300495263 
 01/01  03:30:00,-4.246844211248344,55.326610756852009,-4.871533429952478,54.52157512873714,-1.9929081932393729,59.39102664340112,-1.1250082884700988,60.56564192755195,21.748665549185945,0.0,-11.363544518617119,67.0779572269239 
 01/01  03:40:00,-4.231504585497305,54.349723553322977,-4.830536084948562,53.57570482264441,-2.0850292736438407,58.319537684114269,-1.2517764670217276,59.45027638615966,22.009052782707387,0.0,-11.445218432339744,65.66172819741814 
 01/01  03:50:00,-4.214060638103774,53.39151823204793,-4.788560002809845,53.947296096949,-2.1717712224804019,57.26869371455723,-1.371926728912058,58.35711681762905,22.245598401530743,0.0,-11.515821992968995,64.27703867404466 
 01/01  04:00:00,-4.1944630903938109,52.450764529000029,-4.747158582752263,53.00108122422648,-2.25312137246533,56.23716689975686,-1.4854735171757057,57.28478048750753,22.458804332070714,0.0,-11.575290434842828,62.921633609773838 
 01/01  04:10:00,-4.172559775648779,51.116708509734738,-4.708365029588549,51.39825476564806,-2.3289531812113184,54.47066520825956,-1.5923199780818323,55.45907714511645,22.64946582835296,0.0,-11.623576843662022,61.13124108485954 
 01/01  04:20:00,-4.148468430179946,49.833900625999607,-4.6718968182758549,49.88381382053262,-2.399008361237975,52.79652208390462,-1.692223951343749,53.72991290834011,22.81776863331652,0.0,-11.660866021221864,59.424589676879808 
